Claim,Subsection,label,deepset/gbert-base,deepset/gbert-large,deepset/gelectra-base,deepset/gelectra-large
"In Berlin dürfen die Menschen ihre eigene Wohnung ebenfalls nur aus triftigen Gründen verlassen, zu denen zählt das Versorgen der Tiere.","Triftige Gründe im Sinne von Absatz 1 Satz 4 sind insbesondere 1. die Abwendung einer Gefahr für Leib, Leben oder Eigentum, 2. die Ausübung beruflicher, mandatsbezogener, ehrenamtlicher oder sonstiger Tätigkeiten im Sinne von Absatz 5 Nummer 2, auch an wechselnden Einsatzstellen, 3. die Begleitung, Betreuung und Pflege von unterstützungsbedürftigen Personen und Minderjährigen sowie die Erledigung von Besorgungen und Geschäften für diese Personen, 4. die Wahrnehmung von Terminen bei Behörden, Gerichten, Rechtsantragsstellen, Gerichtsvollzieherinnen und Gerichtsvollziehern, Rechtsanwältinnen und Rechtsanwälten und Notarinnen und Notaren, einschließlich der Teilnahme an Gerichtsverhandlungen als Teil der Öffentlichkeit, 5. die Befolgung behördlicher, staatsanwaltschaftlicher oder polizeilicher Vorladungen, 6. die individuelle stille Einkehr in Kirchen, Moscheen, Synagogen und Häusern anderer Glaubens- und Weltanschauungsgemeinschaften sowie die Teilnahme an Gottesdiensten, 7. die Inanspruchnahme medizinischer und veterinärmedizinischer Versorgungsleistungen (z.B. Arztbesuch, medizinische Behandlungen; Blutspenden) sowie der Besuch bei Angehörigen helfender Berufe, soweit dies medizinisch erforderlich ist (z.B. Psycho- und Physiotherapeuten und die in § 17 Absatz 1 Satz 2 genannten), 8. Besorgungen des persönlichen Bedarfs in Verkaufsstellen und Inanspruchnahme von nach dieser Verordnung zulässigen Dienstleistungen, 9. der Besuch bei Ehepartnerinnen und Ehepartnern oder Lebenspartnerinnen und Lebenspartnern, und die Wahrnehmung des Sorgerechts oder Umgangsrechts im jeweiligen privaten Bereich, 10. Handlungen zur Versorgung und Betreuung von Tieren, 11. die Bewirtschaftung von gärtnerischen oder landwirtschaftlichen Flächen, 12. die Teilnahme an und die Durchführung von nach dieser Verordnung zulässigen Veranstaltungen, Versammlungen, Besuchen oder privaten Zusammenkünften, 13. das Aufsuchen von Schulen sowie Einrichtungen der Pflege, der Behindertenhilfe und der Kinderbetreuung zum Zwecke der Inanspruchnahme der dortigen Betreuungsangebote oder, um Menschen die dort betreut werden, dorthin zu begleiten oder abzuholen, 14. Sport nach Maßgabe von § 18 und Bewegung im Freien.",True,1,1,1,1
"In Berlin dürfen die Menschen ihre eigene Wohnung ebenfalls nur aus triftigen Gründen verlassen, zu denen zählt das Versorgen der Tiere.","Die Absätze 1 bis 5 gelten nur, soweit die dort bezeichneten Personen keine typischen Symptome einer Infektion mit dem Coronavirus SARS-CoV-2 wie Husten, Fieber, Schnupfen oder Geruchs- und Geschmacksverlust aufweisen. Die Person nach Absatz 2 bis 5 hat zur Durchführung eines Tests eine Ärztin, einen Arzt oder ein Testzentrum aufzusuchen, wenn binnen zehn Tagen nach Einreise typische Symptome einer Infektion mit dem Coronavirus SARS-CoV-2 wie Husten, Fieber, Schnupfen oder Geruchs- und Geschmacksverlust auftreten.",False,0,0,0,0
"Sport und Bewegung an der frischen Luft ist der Verordnung zufolge ebenfalls im Freien erlaubt, alleine, mit Angehörigen des eigenen Haushalts oder mit einer anderen Person - Gruppen dürfen auch zu diesem Zweck nicht gebildet werden.","Im Stadtgebiet von Berlin gemäß Artikel 4 Absatz 1 der Verfassung von Berlin vom 23. November 1995 (GVBl. S. 779), die zuletzt durch Gesetz vom 22. März 2016 (GVBl. S. 114) geändert worden ist, befindliche Personen haben sich, vorbehaltlich anderweitiger Regelungen dieser Verordnung, ständig in ihrer Wohnung oder gewöhnlichen Unterkunft aufzuhalten. Dies gilt auch für wohnungslose Menschen, soweit sie kommunal oder ordnungsrechtlich untergebracht sind.",True,0,0,0,0
"Sport und Bewegung an der frischen Luft ist der Verordnung zufolge ebenfalls im Freien erlaubt, alleine, mit Angehörigen des eigenen Haushalts oder mit einer anderen Person - Gruppen dürfen auch zu diesem Zweck nicht gebildet werden.",Gesundheits- und Pflegefachschulen sowie sonstige Einrichtungen der Berufsausbildung dürfen nicht für den Lehrbetrieb geöffnet werden.,False,0,0,0,0
"Sport und Bewegung an der frischen Luft ist der Verordnung zufolge ebenfalls im Freien erlaubt, alleine, mit Angehörigen des eigenen Haushalts oder mit einer anderen Person - Gruppen dürfen auch zu diesem Zweck nicht gebildet werden.","Das Vorliegen von Gründen, die das Verlassen der Wohnung oder gewöhnlichen Unterkunft nach den Bestimmungen dieser Verordnung erlauben, ist gegenüber der Polizei und den zuständigen Ordnungsbehörden glaubhaft zu machen. Bei jeglichem Aufenthalt außerhalb der Wohnung oder gewöhnlichen Unterkunft ist - soweit möglich - ein Mindestabstand von 1,5 Metern zu anderen Personen einzuhalten.",True,1,0,0,0
"Sport und Bewegung an der frischen Luft ist der Verordnung zufolge ebenfalls im Freien erlaubt, alleine, mit Angehörigen des eigenen Haushalts oder mit einer anderen Person - Gruppen dürfen auch zu diesem Zweck nicht gebildet werden.","Gaststätten im Sinne des Gaststättengesetzes in der Fassung der Bekanntmachung vom 20. November 1998 (BGBl. I S. 3418), das zuletzt durch Artikel 14 des Gesetzes vom 10. März 2017 (BGBl. I S. 420) geändert worden ist, inklusive Shisha-Bars, dürfen nicht für den Publikumsverkehr geöffnet werden. Sie dürfen Speisen und Getränke zur Abholung oder zur Lieferung anbieten. Für die Abholung, auch durch Lieferdienste, sind geeignete Vorkehrungen zur Hygiene, zur Steuerung des Zutritts und zur Vermeidung von Warteschlangen zu treffen.",False,0,0,1,0
"In der Verordnung heißt es, Personen auf dem Stadtgebiet von Berlin müssten sich ständig in ihrer Wohnung aufhalten. Allerdings gibt es für diese Ausgangsbeschränkung eine Reihe von Ausnahmen. Das gilt etwa für Menschen, die zur Arbeit müssen, für Arztbesuche, andere medizinische Behandlungen oder Blutspenden, für Einkäufe, aber auch für die Begleitung Sterbender oder für Beerdigungen.","Im Stadtgebiet von Berlin gemäß Artikel 4 Absatz 1 der Verfassung von Berlin vom 23. November 1995 (GVBl. S. 779), die zuletzt durch Gesetz vom 22. März 2016 (GVBl. S. 114) geändert worden ist, befindliche Personen haben sich, vorbehaltlich anderweitiger Regelungen dieser Verordnung, ständig in ihrer Wohnung oder gewöhnlichen Unterkunft aufzuhalten. Dies gilt auch für wohnungslose Menschen, soweit sie kommunal oder ordnungsrechtlich untergebracht sind.",True,1,1,1,1
"In der Verordnung heißt es, Personen auf dem Stadtgebiet von Berlin müssten sich ständig in ihrer Wohnung aufhalten. Allerdings gibt es für diese Ausgangsbeschränkung eine Reihe von Ausnahmen. Das gilt etwa für Menschen, die zur Arbeit müssen, für Arztbesuche, andere medizinische Behandlungen oder Blutspenden, für Einkäufe, aber auch für die Begleitung Sterbender oder für Beerdigungen.","Das Aufsuchen von Einrichtungen im Sinne von § 7, § 7a und § 8 ist zum Zwecke der Inanspruchnahme der dortigen Betreuungsangebote und um Menschen, die dort betreut werden, dorthin zu begleiten oder abzuholen zulässig.",False,0,0,0,0
"In der Verordnung heißt es, Personen auf dem Stadtgebiet von Berlin müssten sich ständig in ihrer Wohnung aufhalten. Allerdings gibt es für diese Ausgangsbeschränkung eine Reihe von Ausnahmen. Das gilt etwa für Menschen, die zur Arbeit müssen, für Arztbesuche, andere medizinische Behandlungen oder Blutspenden, für Einkäufe, aber auch für die Begleitung Sterbender oder für Beerdigungen.","Das Vorliegen von Gründen, die das Verlassen der Wohnung oder gewöhnlichen Unterkunft nach den Bestimmungen dieser Verordnung erlauben, ist gegenüber der Polizei und den zuständigen Ordnungsbehörden glaubhaft zu machen. Bei jeglichem Aufenthalt außerhalb der Wohnung oder gewöhnlichen Unterkunft ist - soweit möglich - ein Mindestabstand von 1,5 Metern zu anderen Personen einzuhalten.",True,1,1,0,1
"In der Verordnung heißt es, Personen auf dem Stadtgebiet von Berlin müssten sich ständig in ihrer Wohnung aufhalten. Allerdings gibt es für diese Ausgangsbeschränkung eine Reihe von Ausnahmen. Das gilt etwa für Menschen, die zur Arbeit müssen, für Arztbesuche, andere medizinische Behandlungen oder Blutspenden, für Einkäufe, aber auch für die Begleitung Sterbender oder für Beerdigungen.","Staatliche, private und konfessionelle Hochschulen einschließlich ihrer Einrichtungen dürfen nicht für den Präsenzlehrbetrieb und nicht für den Publikumsverkehr geöffnet werden.",False,0,0,0,0
"Grundsätzlich sind alle öffentlichen und nichtöffentlichen Veranstaltungen, Versammlungen, Zusammenkünfte und Ansammlungen nicht mehr erlaubt.","Öffentliche und nichtöffentliche Veranstaltungen, Versammlungen, Zusammenkünfte und Ansammlungen dürfen nicht stattfinden.",True,1,1,1,1
"Grundsätzlich sind alle öffentlichen und nichtöffentlichen Veranstaltungen, Versammlungen, Zusammenkünfte und Ansammlungen nicht mehr erlaubt.","Der Personalausweis oder ein anderer amtlicher Lichtbildausweis nebst einem Dokument, aus dem die Wohnanschrift der Person ersichtlich ist, ist mitzuführen und auf Verlangen der Polizei und den zuständigen Ordnungsbehörden vorzulegen.",False,0,0,0,0
"Grundsätzlich müssen alle Verkaufsstellen schließen. Ausgenommen ist allerdings der Einzelhandel für Lebensmittel und Getränke einschließlich Spätverkaufsstellen, Abhol- und Lieferdienste, Wochenmärkte mit Beschränkung auf die für den Einzelhandel in dieser Verordnung zugelassenen Sortimente, Apotheken, Einrichtungen mit Sanitätsbedarf sowie zum Erwerb von Hör- und Sehhilfen, Drogerien, Tankstellen, Waschsalons, der Zeitungsverkauf und Buchhandel, Einzelhandel für Bau-, Gartenbau- und Tierbedarf, Fahrradgeschäfte, Handwerk und Handwerkerbedarf und Großhandel.","Verkaufsstellen im Sinne des Berliner Ladenöffnungsgesetzes vom 14. November 2006 (GVBl. S. 1045), das zuletzt durch das Gesetz vom 13. Oktober 2010 (GVBl. S. 467) geändert worden ist, dürfen nicht geöffnet werden.",True,1,1,1,1
"Grundsätzlich müssen alle Verkaufsstellen schließen. Ausgenommen ist allerdings der Einzelhandel für Lebensmittel und Getränke einschließlich Spätverkaufsstellen, Abhol- und Lieferdienste, Wochenmärkte mit Beschränkung auf die für den Einzelhandel in dieser Verordnung zugelassenen Sortimente, Apotheken, Einrichtungen mit Sanitätsbedarf sowie zum Erwerb von Hör- und Sehhilfen, Drogerien, Tankstellen, Waschsalons, der Zeitungsverkauf und Buchhandel, Einzelhandel für Bau-, Gartenbau- und Tierbedarf, Fahrradgeschäfte, Handwerk und Handwerkerbedarf und Großhandel.","Das Aufsuchen von Einrichtungen im Sinne von § 7, § 7a und § 8 ist zum Zwecke der Inanspruchnahme der dortigen Betreuungsangebote und um Menschen, die dort betreut werden, dorthin zu begleiten oder abzuholen zulässig.",False,0,0,1,0
"Grundsätzlich müssen alle Verkaufsstellen schließen. Ausgenommen ist allerdings der Einzelhandel für Lebensmittel und Getränke einschließlich Spätverkaufsstellen, Abhol- und Lieferdienste, Wochenmärkte mit Beschränkung auf die für den Einzelhandel in dieser Verordnung zugelassenen Sortimente, Apotheken, Einrichtungen mit Sanitätsbedarf sowie zum Erwerb von Hör- und Sehhilfen, Drogerien, Tankstellen, Waschsalons, der Zeitungsverkauf und Buchhandel, Einzelhandel für Bau-, Gartenbau- und Tierbedarf, Fahrradgeschäfte, Handwerk und Handwerkerbedarf und Großhandel.","Ausgenommen vom Verbot nach Absatz 1 ist der Einzelhandel für Lebensmittel und Getränke einschließlich Spätverkaufsstellen, Abhol- und Lieferdienste, Wochenmärkte mit Beschränkung auf die für den Einzelhandel in dieser Verordnung zugelassenen Sortimente, Apotheken, Einrichtungen mit Sanitätsbedarf sowie zum Erwerb von Hör- und Sehhilfen, Drogerien, Tankstellen, Waschsalons, der Zeitungsverkauf und Buchhandel, Einzelhandel für Bau-, Gartenbau- und Tierbedarf, Fahrradgeschäfte, Handwerk und Handwerkerbedarf und Großhandel.",True,1,1,1,1
"Grundsätzlich müssen alle Verkaufsstellen schließen. Ausgenommen ist allerdings der Einzelhandel für Lebensmittel und Getränke einschließlich Spätverkaufsstellen, Abhol- und Lieferdienste, Wochenmärkte mit Beschränkung auf die für den Einzelhandel in dieser Verordnung zugelassenen Sortimente, Apotheken, Einrichtungen mit Sanitätsbedarf sowie zum Erwerb von Hör- und Sehhilfen, Drogerien, Tankstellen, Waschsalons, der Zeitungsverkauf und Buchhandel, Einzelhandel für Bau-, Gartenbau- und Tierbedarf, Fahrradgeschäfte, Handwerk und Handwerkerbedarf und Großhandel.",Mensen des Studierendenwerkes dürfen nicht geöffnet werden.,False,1,0,1,1
Dürfen Friseure weiterhin öffnen? Nein.,"Dienstleistungsgewerbe im Bereich der Körperpflege wie Friseure, Kosmetikstudios, Massagepraxen, Tattoo-Studios und ähnliche Betriebe dürfen weder für den Publikumsverkehr geöffnet werden noch ihre Dienste anbieten. Das gilt nicht für medizinisch notwendige Behandlungen.",True,1,1,1,1
Dürfen Friseure weiterhin öffnen? Nein.,"Öffentliche Schulen und Schulen in freier Trägerschaft einschließlich der Einrichtungen des Zweiten Bildungsweges und der Angebote der ergänzenden Förderung und Betreuung, Volkshochschulen, Musikschulen, Jugendkunstschulen, Jugendverkehrsschulen, Gartenarbeitsschulen sowie freie Einrichtungen im Sinne des Schulgesetzes vom 26. Januar 2004 (GVBl. S. 26), das zuletzt durch Artikel 1 des Gesetzes vom 9. April 2019 (GVBl. S. 255) geändert worden ist, sowie Tageseinrichtungen und Angebote der Kindertagespflege im Sinne des Kindertagesförderungsgesetzes vom 23. Juni 2005 (GVBl. S. 322), das zuletzt durch Artikel 1 des Gesetzes vom 19. Dezember 2017 (GVBl. S. 702) geändert worden ist, dürfen vorbehaltlich der Absätze 2 und 3 nicht für den Lehr- bzw. Betreuungsbetrieb geöffnet werden.",False,0,1,1,1
"„Bei jeglichem Aufenthalt außerhalb der Wohnung ist – soweit möglich – ein Mindestabstand von 1, 5 Metern zu anderen Personen einzuhalten.“","Im Stadtgebiet von Berlin gemäß Artikel 4 Absatz 1 der Verfassung von Berlin vom 23. November 1995 (GVBl. S. 779), die zuletzt durch Gesetz vom 22. März 2016 (GVBl. S. 114) geändert worden ist, befindliche Personen haben sich, vorbehaltlich anderweitiger Regelungen dieser Verordnung, ständig in ihrer Wohnung oder gewöhnlichen Unterkunft aufzuhalten. Dies gilt auch für wohnungslose Menschen, soweit sie kommunal oder ordnungsrechtlich untergebracht sind.",True,1,1,1,0
"„Bei jeglichem Aufenthalt außerhalb der Wohnung ist – soweit möglich – ein Mindestabstand von 1, 5 Metern zu anderen Personen einzuhalten.“","Einrichtungen der in Absatz 1 bezeichneten Art können einen eingeschränkten Betrieb für eine Notbetreuung von Pflegebedürftigen anbieten, deren Angehörige eine berufliche Tätigkeit ausüben, die für die Aufrechterhaltung des öffentlichen Lebens insbesondere im Bereich der Gesundheit, Pflege, der öffentlichen Sicherheit und Versorgung erforderlich ist oder für solche Fälle in denen eine Betreuung pflegefachlich erforderlich ist und nicht anderweitig sichergestellt werden kann.",False,0,0,0,0
"„Bei jeglichem Aufenthalt außerhalb der Wohnung ist – soweit möglich – ein Mindestabstand von 1, 5 Metern zu anderen Personen einzuhalten.“","Das Vorliegen von Gründen, die das Verlassen der Wohnung oder gewöhnlichen Unterkunft nach den Bestimmungen dieser Verordnung erlauben, ist gegenüber der Polizei und den zuständigen Ordnungsbehörden glaubhaft zu machen. Bei jeglichem Aufenthalt außerhalb der Wohnung oder gewöhnlichen Unterkunft ist - soweit möglich - ein Mindestabstand von 1,5 Metern zu anderen Personen einzuhalten.",True,1,1,1,1
"„Bei jeglichem Aufenthalt außerhalb der Wohnung ist – soweit möglich – ein Mindestabstand von 1, 5 Metern zu anderen Personen einzuhalten.“","Soweit für die Vergabe der öffentlichen Sportanlage vor Inkrafttreten dieser Verordnung eine andere Vergabestelle des Landes Berlin zuständig war, wird die für Sport zuständige Senatsverwaltung diese bei der Entscheidung über eine Ausnahme beteiligen.",False,0,0,0,0
Muss ich mich ausweisen? Ja.,"Der Personalausweis oder ein anderer amtlicher Lichtbildausweis nebst einem Dokument, aus dem die Wohnanschrift der Person ersichtlich ist, ist mitzuführen und auf Verlangen der Polizei und den zuständigen Ordnungsbehörden vorzulegen.",True,1,1,0,0
Muss ich mich ausweisen? Ja.,"Prüfungen dürfen durchgeführt werden, sofern hierbei ein Abstand zwischen den Teilnehmenden von mindestens 1,5 Metern gewährleistet ist.",False,0,0,0,0
"Besuche von Freunden, Bekannten oder der Familie sind grundsätzlich nicht mehr erlaubt.","Im Stadtgebiet von Berlin gemäß Artikel 4 Absatz 1 der Verfassung von Berlin vom 23. November 1995 (GVBl. S. 779), die zuletzt durch Gesetz vom 22. März 2016 (GVBl. S. 114) geändert worden ist, befindliche Personen haben sich, vorbehaltlich anderweitiger Regelungen dieser Verordnung, ständig in ihrer Wohnung oder gewöhnlichen Unterkunft aufzuhalten. Dies gilt auch für wohnungslose Menschen, soweit sie kommunal oder ordnungsrechtlich untergebracht sind.",True,0,0,1,0
"Besuche von Freunden, Bekannten oder der Familie sind grundsätzlich nicht mehr erlaubt.",Bibliotheken dürfen nicht für den Publikumsverkehr geöffnet werden. Onlinedienste können angeboten werden.,False,1,0,1,0
"Auch dürfen Menschen anderen Menschen helfen, die persönliche Geschäfte nicht selbst erledigen können.","Zur Hilfeleistung für Menschen, die die in dieser Verordnung bezeichneten Wege nicht selbst zurücklegen oder ihre persönlichen Geschäfte nicht selbst besorgen können, ist die Erledigung der Wege beziehungsweise die Besorgung der Geschäfte durch eine selbstgewählte Hilfsperson zulässig.",True,1,1,1,1
"Auch dürfen Menschen anderen Menschen helfen, die persönliche Geschäfte nicht selbst erledigen können.","Prostitutionsgewerbe im Sinne des Prostituiertenschutzgesetzes vom 21. Oktober 2016 (BGBl. I S. 2372), das durch Artikel 57 des Gesetzes vom 20. November 2019 (BGBl. I S. 1626) geändert worden ist, dürfen weder für den Publikumsverkehr geöffnet werden, noch ihre Dienste außerhalb ihrer Betriebsstätte erbringen.",False,0,0,1,0
"Die Wahrnehmung dringend erforderlicher Termine bei „Behörden, Gerichten, Rechtsantragsstellen, Gerichtsvollzieherinnen und Gerichtsvollziehern, Rechtsanwältinnen und Rechtsanwälten und Notarinnen und Notaren“ ist weiterhin erlaubt.","Im Stadtgebiet von Berlin gemäß Artikel 4 Absatz 1 der Verfassung von Berlin vom 23. November 1995 (GVBl. S. 779), die zuletzt durch Gesetz vom 22. März 2016 (GVBl. S. 114) geändert worden ist, befindliche Personen haben sich, vorbehaltlich anderweitiger Regelungen dieser Verordnung, ständig in ihrer Wohnung oder gewöhnlichen Unterkunft aufzuhalten. Dies gilt auch für wohnungslose Menschen, soweit sie kommunal oder ordnungsrechtlich untergebracht sind.",True,0,0,0,0
"Die Wahrnehmung dringend erforderlicher Termine bei „Behörden, Gerichten, Rechtsantragsstellen, Gerichtsvollzieherinnen und Gerichtsvollziehern, Rechtsanwältinnen und Rechtsanwälten und Notarinnen und Notaren“ ist weiterhin erlaubt.","Einrichtungen der in Absatz 1 bezeichneten Art können einen eingeschränkten Betrieb für eine Notbetreuung von Pflegebedürftigen anbieten, deren Angehörige eine berufliche Tätigkeit ausüben, die für die Aufrechterhaltung des öffentlichen Lebens insbesondere im Bereich der Gesundheit, Pflege, der öffentlichen Sicherheit und Versorgung erforderlich ist oder für solche Fälle in denen eine Betreuung pflegefachlich erforderlich ist und nicht anderweitig sichergestellt werden kann.",False,1,0,0,0
"Die Wahrnehmung dringend erforderlicher Termine bei „Behörden, Gerichten, Rechtsantragsstellen, Gerichtsvollzieherinnen und Gerichtsvollziehern, Rechtsanwältinnen und Rechtsanwälten und Notarinnen und Notaren“ ist weiterhin erlaubt.","Das Vorliegen von Gründen, die das Verlassen der Wohnung oder gewöhnlichen Unterkunft nach den Bestimmungen dieser Verordnung erlauben, ist gegenüber der Polizei und den zuständigen Ordnungsbehörden glaubhaft zu machen. Bei jeglichem Aufenthalt außerhalb der Wohnung oder gewöhnlichen Unterkunft ist - soweit möglich - ein Mindestabstand von 1,5 Metern zu anderen Personen einzuhalten.",True,0,0,0,0
